attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
dos,902,QUBOMutualInformation,SimulatedAnnealing,12,cuda:2,2.81,7.4,0.0873,1345.7,0.99636,0.97766,0.96146,0.96596,0.957
dos,914,QUBOMutualInformation,SimulatedAnnealing,24,cuda:2,2.85,7.59,0.0896,1410.01,0.9969,0.98295,0.96733,0.96713,0.96754
dos,926,QUBOMutualInformation,SimulatedAnnealing,36,cuda:2,2.83,7.68,0.0894,1474.84,0.99746,0.98204,0.97301,0.98114,0.96501
dos,950,QUBOMutualInformation,SteepestDescent,12,cuda:2,2.8,7.37,0.0875,1345.7,0.99638,0.97787,0.96168,0.96597,0.95742
dos,962,QUBOMutualInformation,SteepestDescent,24,cuda:2,2.84,7.58,0.0895,1410.01,0.9969,0.98315,0.96735,0.96674,0.96796
dos,974,QUBOMutualInformation,SteepestDescent,36,cuda:2,2.85,7.7,0.0891,1474.84,0.99696,0.98478,0.96807,0.96482,0.97133
dos,998,QUBOMutualInformation,TabuSampler,12,cuda:2,2.86,7.8,0.0883,1527.99,0.99706,0.98424,0.96905,0.96803,0.97007
dos,1010,QUBOMutualInformation,TabuSampler,24,cuda:2,2.88,7.79,0.0891,1527.99,0.997,0.9838,0.96841,0.96759,0.96922
dos,1022,QUBOMutualInformation,TabuSampler,36,cuda:2,2.9,7.79,0.0885,1527.99,0.99704,0.98402,0.96883,0.96801,0.96965
dos,1046,QUBOSVCBoosting,SimulatedAnnealing,12,cuda:2,2.76,7.27,0.0856,1307.8,0.99482,0.96363,0.9445,0.96035,0.92917
dos,1058,QUBOSVCBoosting,SimulatedAnnealing,24,cuda:2,2.81,7.26,0.0871,1350.99,0.9969,0.97914,0.96707,0.97473,0.95953
dos,1070,QUBOSVCBoosting,SimulatedAnnealing,36,cuda:2,2.81,7.4,0.0846,1393.25,0.9964,0.97988,0.96204,0.96245,0.96164
dos,1094,QUBOSVCBoosting,SteepestDescent,12,cuda:2,2.79,7.27,0.0849,1307.8,0.9945,0.96126,0.941,0.95806,0.92454
dos,1106,QUBOSVCBoosting,SteepestDescent,24,cuda:2,2.78,7.27,0.0871,1350.99,0.99592,0.98143,0.95736,0.94942,0.96543
dos,1118,QUBOSVCBoosting,SteepestDescent,36,cuda:2,2.81,7.42,0.0842,1393.25,0.99704,0.98062,0.9686,0.97481,0.96248
dos,1142,QUBOSVCBoosting,TabuSampler,12,cuda:2,2.78,7.33,0.086,1329.87,0.9954,0.97475,0.95154,0.95114,0.95194
dos,1154,QUBOSVCBoosting,TabuSampler,24,cuda:2,2.81,7.49,0.0867,1388.86,0.997,0.9842,0.96843,0.96681,0.97007
dos,1166,QUBOSVCBoosting,TabuSampler,36,cuda:2,2.83,7.66,0.0884,1452.52,0.99636,0.97826,0.96151,0.96477,0.95826
fuzzers,2116,QUBOCorrelation,SimulatedAnnealing,11,cuda:2,3.78,9.9,0.1102,1770.06,0.98872,0.9923,0.89401,0.81079,0.99627
fuzzers,2127,QUBOCorrelation,SimulatedAnnealing,22,cuda:2,3.81,10.14,0.1119,1848.06,0.98864,0.99093,0.89312,0.81118,0.99346
fuzzers,2138,QUBOCorrelation,SimulatedAnnealing,33,cuda:2,3.83,10.38,0.1123,1927.51,0.98873,0.98995,0.89366,0.81354,0.99129
fuzzers,2159,QUBOCorrelation,SteepestDescent,11,cuda:2,3.75,9.91,0.1098,1770.06,0.98863,0.99078,0.89296,0.81113,0.99315
fuzzers,2170,QUBOCorrelation,SteepestDescent,22,cuda:2,3.81,10.11,0.1117,1848.06,0.9887,0.9917,0.89377,0.81122,0.99502
fuzzers,2181,QUBOCorrelation,SteepestDescent,33,cuda:2,3.79,10.4,0.1137,1927.51,0.9887,0.99096,0.89362,0.81201,0.99346
fuzzers,2202,QUBOCorrelation,TabuSampler,11,cuda:2,3.83,10.15,0.1127,1884.17,0.98876,0.99129,0.89418,0.81252,0.99409
fuzzers,2213,QUBOCorrelation,TabuSampler,22,cuda:2,3.85,10.45,0.1145,1964.03,0.9887,0.99082,0.89359,0.81217,0.99315
