attack_cat,device,graph_time,train_time,test_time,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,0,10.36,0.374,0.99421,0.98474,0.97678,0.98152,0.97209
dos,cuda:2,0,1.2,0.2898,0.99888,0.99502,0.98826,0.98578,0.99075
fuzzers,cuda:2,0,1.52,0.2954,0.98948,0.99388,0.90042,0.81972,0.99875
exploits,cuda:2,0,2.93,0.3008,0.99852,0.99382,0.9845,0.98041,0.98862
generic,cuda:2,0,9.45,0.3192,0.99975,0.99887,0.99863,0.99946,0.99779
reconnaissance,cuda:2,0,1.11,0.2863,0.99945,0.99727,0.99423,0.9936,0.99487
analysis,cuda:2,0,0.31,0.2827,0.99875,0.99934,0.98704,0.97442,1.0
shellcode,cuda:2,0,0.23,0.2796,0.99917,0.99957,0.99138,0.98291,1.0
backdoor,cuda:2,0,0.31,0.2815,0.99946,0.99838,0.99437,0.99157,0.99718
