attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,20.3,58.48,0.5655,8801.92,0.99654,0.99698,0.98635,0.97538,0.99756
dos,cuda:2,2.13,6.74,0.0779,1313.31,0.99808,0.98741,0.97973,0.98388,0.97561
fuzzers,cuda:2,2.86,8.96,0.0977,1724.39,0.98788,0.99067,0.88648,0.8001,0.99376
exploits,cuda:2,5.73,17.13,0.1715,3187.64,0.99668,0.98482,0.96541,0.95919,0.97171
generic,cuda:2,18.84,53.8,0.5344,8367.69,0.99944,0.99756,0.99693,0.99862,0.99525
reconnaissance,cuda:2,2.1,6.69,0.0775,1284.65,0.99959,0.99776,0.99573,0.99573,0.99573
analysis,cuda:2,0.37,1.56,0.0247,247.69,0.99955,0.99976,0.99526,0.99057,1.0
shellcode,cuda:2,0.22,1.31,0.021,148.44,0.99835,0.99913,0.98291,0.96639,1.0
backdoor,cuda:2,0.32,1.48,0.024,214.48,0.99785,0.98814,0.9774,0.9774,0.9774
