attack_cat,device,graph_time,train_time,test_time,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,0,5.47,2.6163,0.99413,0.98481,0.97648,0.98061,0.97238
dos,cuda:2,0,1.16,1.6066,0.99868,0.99392,0.98616,0.98369,0.98865
fuzzers,cuda:2,0,1.31,1.6981,0.98927,0.99318,0.89854,0.81744,0.9975
exploits,cuda:2,0,1.99,2.0002,0.99846,0.99323,0.98391,0.98039,0.98745
generic,cuda:2,0,5.31,2.4654,0.99973,0.99874,0.99854,0.99955,0.99752
reconnaissance,cuda:2,0,1.06,1.7559,0.99931,0.99679,0.99274,0.99147,0.99401
analysis,cuda:2,0,0.74,1.8722,0.99875,0.99934,0.98704,0.97442,1.0
shellcode,cuda:2,0,0.69,1.145,0.99917,0.99957,0.99138,0.98291,1.0
backdoor,cuda:2,0,0.74,1.7465,0.99919,0.99689,0.99155,0.98876,0.99435
