attack_cat,device,graph_time,train_time_s,test_time_s,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:0,0,1.72,0.0566,0.98842,0.98009,0.95448,0.94042,0.96897
dos,cuda:0,0,0.8,0.0002,0.99626,0.97388,0.96024,0.9716,0.94914
fuzzers,cuda:0,0,0.8,0.0002,0.98869,0.99125,0.89331,0.8111,0.99407
exploits,cuda:0,0,0.8,0.0002,0.99509,0.97636,0.94882,0.94209,0.95565
generic,cuda:0,0,1.54,0.0002,0.99908,0.99589,0.99492,0.99787,0.992
reconnaissance,cuda:0,0,0.8,0.0002,0.99471,0.98727,0.94628,0.91563,0.97905
analysis,cuda:0,0,0.78,0.0003,0.99807,0.99445,0.97993,0.96963,0.99045
shellcode,cuda:0,0,0.76,0.0002,0.9971,0.99848,0.97046,0.94262,1.0
backdoor,cuda:0,0,0.75,0.0002,0.99651,0.98072,0.96328,0.96328,0.96328
