attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
dos,950,QUBOMutualInformation,SteepestDescent,12,2×GPU,0,32.02,22.8668,0.99654,0.98161,0.96369,0.96228,0.96511
dos,962,QUBOMutualInformation,SteepestDescent,24,2×GPU,0,34.99,22.8754,0.99868,0.99412,0.98617,0.98328,0.98907
dos,974,QUBOMutualInformation,SteepestDescent,36,2×GPU,0,44.28,23.194,0.9988,0.99458,0.98742,0.98494,0.98991
dos,998,QUBOMutualInformation,TabuSampler,12,2×GPU,0,48.05,22.9361,0.99876,0.99436,0.987,0.98453,0.98949
dos,1010,QUBOMutualInformation,TabuSampler,24,2×GPU,0,48.12,22.8728,0.99876,0.99436,0.987,0.98453,0.98949
dos,1022,QUBOMutualInformation,TabuSampler,36,2×GPU,0,48.11,22.9668,0.99876,0.99436,0.987,0.98453,0.98949
dos,1046,QUBOSVCBoosting,SimulatedAnnealing,12,2×GPU,0,30.76,22.6636,0.99778,0.98486,0.97653,0.98255,0.97058
dos,1058,QUBOSVCBoosting,SimulatedAnnealing,24,2×GPU,0,38.07,23.0682,0.99616,0.97262,0.95911,0.97195,0.94662
dos,1070,QUBOSVCBoosting,SimulatedAnnealing,36,2×GPU,0,41.59,23.0123,0.99612,0.97181,0.95864,0.97274,0.94493
dos,1094,QUBOSVCBoosting,SteepestDescent,12,2×GPU,0,36.42,22.59,0.99425,0.96164,0.93882,0.95242,0.9256
dos,1106,QUBOSVCBoosting,SteepestDescent,24,2×GPU,0,39.06,22.6667,0.99425,0.96164,0.93882,0.95242,0.9256
dos,1118,QUBOSVCBoosting,SteepestDescent,36,2×GPU,0,42.45,23.2345,0.99852,0.99144,0.98443,0.98526,0.98361
dos,1142,QUBOSVCBoosting,TabuSampler,12,2×GPU,0,30.48,22.8576,0.99624,0.98604,0.96104,0.94769,0.97478
