attack_cat,device,graph_time,train_time,test_time,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda,0,358.83,169.2346,0.99458,0.98428,0.97819,0.98596,0.97054
dos,cuda,0,29.9,22.7725,0.99878,0.99397,0.9872,0.98575,0.98865
fuzzers,cuda,0,41.42,30.6385,0.98961,0.98847,0.90053,0.82784,0.98721
exploits,cuda,0,66.89,55.711,0.99849,0.99261,0.98421,0.98233,0.98611
generic,cuda,0,369.53,166.3185,0.99978,0.99907,0.99879,0.99937,0.99821
reconnaissance,cuda,0,35.86,24.417,0.99953,0.99752,0.99508,0.99487,0.9953
analysis,cuda,0,8.45,4.388,0.99852,0.99696,0.98465,0.9743,0.99523
shellcode,cuda,0,7.46,3.1516,0.99938,0.99967,0.99352,0.98712,1.0
backdoor,cuda,0,12.07,3.552,0.99919,0.99689,0.99155,0.98876,0.99435
