attack_cat,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
full,Tesla V100-PCIE-32GB,0,11.51,0.5563,0.99682,0.98799,0.9824,0.98766,0.97719
dos,Tesla V100-PCIE-32GB,0,2.02,0.1323,0.99948,0.998,0.99715,0.9981,0.9962
ddos,Tesla V100-PCIE-32GB,0,2.0,0.2608,0.99972,0.99882,0.99848,0.99924,0.99772
backdoor,Tesla V100-PCIE-32GB,0,1.78,0.1049,1.0,1.0,1.0,1.0,1.0
injection,Tesla V100-PCIE-32GB,0,2.07,0.1279,0.99962,0.99945,0.99791,0.99659,0.99924
password,Tesla V100-PCIE-32GB,0,1.98,0.1245,0.99965,0.99947,0.9981,0.99697,0.99924
ransomware,Tesla V100-PCIE-32GB,0,1.96,0.1237,0.9934,0.98046,0.96374,0.96282,0.96465
scanning,Tesla V100-PCIE-32GB,0,1.95,0.1254,0.99979,0.99886,0.99886,1.0,0.99772
xss,Tesla V100-PCIE-32GB,0,2.05,0.1271,0.99727,0.99764,0.98518,0.97259,0.9981
