attack_cat,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda,0,19.66,0.6515,0.96799,0.87742,0.81324,0.86576,0.76674
dos,cuda,0,3.38,0.0015,0.99924,0.99702,0.99581,0.99733,0.9943
ddos,cuda,0,3.38,0.0013,0.99637,0.98535,0.97988,0.98802,0.97187
backdoor,cuda,0,3.38,0.0013,0.99983,0.9999,0.99905,0.9981,1.0
injection,cuda,0,3.38,0.0013,0.99368,0.97138,0.96447,0.98571,0.94413
password,cuda,0,3.37,0.0013,0.99844,0.9923,0.99139,0.99807,0.9848
ransomware,cuda,0,3.38,0.0013,0.96565,0.84,0.78419,0.91443,0.68643
scanning,cuda,0,3.37,0.0013,0.99416,0.99439,0.96872,0.94408,0.99468
xss,cuda,0,3.37,0.0013,0.98576,0.97404,0.92457,0.89191,0.95971
