attack_cat,device,graph_time,train_time,test_time,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,1×GPU,0,256.5,140.9675,0.98884,0.94182,0.93509,0.992,0.88434
dos,1×GPU,0,40.5,20.1687,0.99959,0.9984,0.99772,0.99848,0.99696
ddos,1×GPU,0,33.97,18.6219,0.99955,0.99804,0.99753,0.99886,0.9962
backdoor,1×GPU,0,29.84,20.1324,1.0,1.0,1.0,1.0,1.0
injection,1×GPU,0,36.14,22.4925,0.99889,0.99683,0.99392,0.99354,0.9943
password,1×GPU,0,27.52,23.2177,0.99959,0.99926,0.99772,0.99659,0.99886
ransomware,1×GPU,0,28.74,18.4171,0.99216,0.97567,0.9568,0.95808,0.95553
scanning,1×GPU,0,34.83,18.5424,0.99972,0.99865,0.99848,0.99962,0.99734
xss,1×GPU,0,29.37,19.9278,0.9971,0.99738,0.98425,0.97114,0.99772
