attack_cat,device,graph_time,train_time,test_time,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,2×GPU,0,184.2,101.2913,0.99606,0.98323,0.97812,0.98893,0.96755
dos,2×GPU,0,28.5,14.0119,0.99962,0.99842,0.99791,0.99886,0.99696
ddos,2×GPU,0,24.43,13.9817,0.99972,0.99882,0.99848,0.99924,0.99772
backdoor,2×GPU,0,21.08,13.4014,1.0,1.0,1.0,1.0,1.0
injection,2×GPU,0,25.71,13.9395,0.99924,0.99838,0.99583,0.99432,0.99734
password,2×GPU,0,19.12,13.8821,0.99959,0.99926,0.99772,0.99659,0.99886
ransomware,2×GPU,0,20.29,14.317,0.99226,0.97522,0.9573,0.96023,0.95439
scanning,2×GPU,0,25.3,14.0551,0.99969,0.99846,0.99829,0.99962,0.99696
xss,2×GPU,0,20.33,13.9683,0.99703,0.997,0.98387,0.97112,0.99696
