attack_cat,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
full,Tesla V100-PCIE-32GB,0,30.27,0.9663,0.99454,0.98392,0.97803,0.98647,0.96974
dos,Tesla V100-PCIE-32GB,0,3.8,0.2145,0.99892,0.99464,0.98866,0.98742,0.98991
fuzzers,Tesla V100-PCIE-32GB,0,4.76,0.2344,0.98991,0.98018,0.90149,0.84246,0.96942
exploits,Tesla V100-PCIE-32GB,0,9.8,0.3812,0.99876,0.99331,0.98695,0.98662,0.98728
generic,Tesla V100-PCIE-32GB,0,29.98,0.938,0.99988,0.9995,0.99933,0.99961,0.99904
reconnaissance,Tesla V100-PCIE-32GB,0,3.58,0.2092,0.99953,0.99711,0.99508,0.99572,0.99444
analysis,Tesla V100-PCIE-32GB,0,0.76,0.1125,0.9983,0.99117,0.98212,0.98095,0.98329
shellcode,Tesla V100-PCIE-32GB,0,0.44,0.0996,0.99938,0.99967,0.99352,0.98712,1.0
backdoor,Tesla V100-PCIE-32GB,0,0.63,0.1044,0.99946,0.99838,0.99437,0.99157,0.99718
