attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,30.52,56.57,0.561,9378.25,0.99179,0.97905,0.96712,0.97226,0.96203
dos,cuda:2,3.21,7.82,0.0827,1528.87,0.99774,0.98439,0.97602,0.98249,0.96965
fuzzers,cuda:2,4.41,10.43,0.106,1999.74,0.98872,0.99112,0.89377,0.81205,0.99378
exploits,cuda:2,8.69,19.49,0.187,3612.59,0.99698,0.98829,0.96852,0.95857,0.97868
generic,cuda:2,26.08,52.27,0.5394,8960.15,0.99935,0.9971,0.99645,0.99856,0.99434
reconnaissance,cuda:2,3.06,7.78,0.0816,1501.35,0.99904,0.99403,0.98996,0.99144,0.98848
analysis,cuda:2,0.53,1.79,0.0253,292.42,0.99898,0.99947,0.98964,0.9795,1.0
shellcode,cuda:2,0.29,1.39,0.022,174.35,0.99856,0.99924,0.98482,0.97009,1.0
backdoor,cuda:2,0.44,1.61,0.0242,251.78,0.99785,0.98916,0.97674,0.97391,0.97959
