attack_cat,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda,0,36.13,1.2175,0.98842,0.98013,0.95451,0.94039,0.96906
dos,cuda,0,4.96,0.0024,0.9963,0.9743,0.96068,0.97163,0.94998
fuzzers,cuda,0,5.32,0.0028,0.98869,0.99125,0.89331,0.8111,0.99407
exploits,cuda,0,11.4,0.0071,0.99508,0.97619,0.94872,0.94223,0.95531
generic,cuda,0,33.79,0.0222,0.99907,0.99586,0.99488,0.99784,0.99194
reconnaissance,cuda,0,4.54,0.0021,0.99473,0.98748,0.9465,0.91567,0.97948
analysis,cuda,0,3.79,0.0018,0.99807,0.99445,0.97993,0.96963,0.99045
shellcode,cuda,0,3.37,0.0013,0.9971,0.99848,0.97046,0.94262,1.0
backdoor,cuda,0,3.35,0.0013,0.99651,0.98072,0.96328,0.96328,0.96328
