attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cpu,0.91,451.93,0.9013,0,0.99934,0.99638,0.99885,0.99392
ddos,cpu,0.7,465.19,1.0185,0,0.99903,0.99468,0.99355,0.99582
backdoor,cpu,0.67,444.54,0.9188,0,0.99997,0.99981,1.0,0.99962
injection,cpu,0.68,462.44,0.9823,0,0.999,0.9945,0.99243,0.99658
password,cpu,0.69,462.6,0.9803,0,0.99952,0.99734,0.99772,0.99696
ransomware,cpu,0.67,448.34,0.9608,0,0.99986,0.99924,0.99848,1.0
scanning,cpu,0.68,456.29,0.9949,0,0.99945,0.99696,0.9981,0.99582
xss,cpu,0.67,459.55,1.0078,0,0.99948,0.99714,1.0,0.9943
