attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,13.78,37.58,0.3635,3927.49,0.9981,0.99638,0.98965,0.98507,0.99427
dos,cuda:2,1.07,4.9,0.0581,573.14,0.99903,0.99545,0.99456,0.99805,0.9911
ddos,cuda:2,1.04,4.89,0.0598,599.98,0.99475,0.98961,0.97096,0.95887,0.98336
backdoor,cuda:2,1.01,4.82,0.058,569.86,0.99993,0.99961,0.99961,1.0,0.99923
injection,cuda:2,1.03,4.89,0.0584,599.15,0.99189,0.97425,0.95445,0.95612,0.95279
password,cuda:2,1.04,4.89,0.0582,599.22,0.99444,0.9863,0.96908,0.96188,0.97639
ransomware,cuda:2,1.01,4.83,0.0577,574.79,0.99983,0.99991,0.99903,0.99807,1.0
scanning,cuda:2,1.03,4.86,0.0579,584.97,0.99955,0.99783,0.99748,0.99922,0.99574
xss,cuda:2,1.02,4.87,0.0603,590.49,0.99638,0.97986,0.97927,0.9996,0.95975
