attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,18.59,11.52,0.0657,1055.52,0.99931,0.99619,0.99847,0.99392
ddos,cuda:2,19.93,8.43,0.0603,1091.39,0.99896,0.9943,0.99355,0.99506
backdoor,cuda:2,18.94,8.34,0.058,1054.71,0.99997,0.99981,1.0,0.99962
injection,cuda:2,20.3,8.36,0.06,1089.74,0.99921,0.99562,0.99657,0.99468
password,cuda:2,19.51,8.84,0.064,1089.59,0.99953,0.99743,0.99772,0.99715
ransomware,cuda:2,19.09,8.44,0.0582,1057.22,0.99986,0.99924,0.99848,1.0
scanning,cuda:2,20.15,8.36,0.06,1071.08,0.99945,0.99696,0.9981,0.99582
xss,cuda:2,19.55,8.92,0.0622,1078.48,0.99938,0.99657,1.0,0.99316
