attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,32.23,9.52,0.0553,573.38,0.99924,0.99575,0.99807,0.99345
ddos,cuda:2,34.09,4.97,0.0509,600.73,0.994,0.96783,0.95721,0.97868
backdoor,cuda:2,33.16,4.9,0.0512,571.16,1.0,1.0,1.0,1.0
injection,cuda:2,34.18,4.72,0.0479,599.88,0.9911,0.95037,0.96072,0.94024
password,cuda:2,33.51,4.89,0.0498,599.93,0.99459,0.97007,0.96145,0.97884
ransomware,cuda:2,33.78,4.85,0.0497,574.69,0.99983,0.99904,0.99847,0.99962
scanning,cuda:2,33.12,4.85,0.0498,585.9,0.99945,0.99697,0.99735,0.99659
xss,cuda:2,34.3,4.88,0.0495,592.77,0.99629,0.9789,0.99682,0.96161
