attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,31.66,9.76,0.0532,573.35,0.99914,0.99536,0.99963,0.99112
ddos,cuda:2,33.56,4.96,0.0502,601.04,0.99436,0.9698,0.9592,0.98063
backdoor,cuda:2,32.5,4.67,0.0493,571.15,1.0,1.0,1.0,1.0
injection,cuda:2,33.48,4.93,0.0506,600.08,0.99118,0.95157,0.95572,0.94747
password,cuda:2,32.98,4.92,0.049,600.13,0.99411,0.96737,0.96168,0.97313
ransomware,cuda:2,33.25,4.66,0.0484,576.3,0.9999,0.99944,0.99889,1.0
scanning,cuda:2,32.63,4.71,0.0497,585.87,0.99945,0.99695,0.99771,0.99619
xss,cuda:2,33.81,4.9,0.0491,592.76,0.99524,0.97281,0.99436,0.95218
