attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda,8.58,62.52,0.474,7626.97,0.99853,0.99617,0.99194,0.99062,0.99328
dos,cuda,0.69,8.28,0.073,1055.14,0.99931,0.99688,0.99619,0.99847,0.99392
ddos,cuda,0.65,8.41,0.0723,1090.25,0.999,0.9974,0.99449,0.99355,0.99544
backdoor,cuda,0.63,7.83,0.0693,1051.86,0.99997,0.99981,0.99981,1.0,0.99962
injection,cuda,0.64,7.97,0.0717,1089.1,0.99898,0.99491,0.99437,0.99885,0.98993
password,cuda,0.65,7.94,0.0702,1088.22,0.99955,0.99838,0.99753,0.9981,0.99696
ransomware,cuda,0.63,7.84,0.0691,1054.86,0.99986,0.99992,0.99924,0.99848,1.0
scanning,cuda,0.64,8.28,0.071,1069.45,0.99948,0.998,0.99715,0.9981,0.9962
xss,cuda,0.64,7.94,0.0723,1076.46,0.99931,0.9962,0.99618,1.0,0.9924
