attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda,19.38,101.45,0.772,16139.82,0.99164,0.98136,0.96666,0.96569,0.96764
dos,cuda,1.97,13.42,0.096,2533.06,0.99804,0.98739,0.97932,0.98306,0.97562
fuzzers,cuda,2.65,17.95,0.1285,3307.83,0.98857,0.988,0.89166,0.81287,0.98736
exploits,cuda,5.32,33.87,0.2317,6020.48,0.99696,0.98831,0.96837,0.95822,0.97874
generic,cuda,17.26,91.06,0.6972,15405.63,0.99947,0.99767,0.9971,0.99873,0.99548
reconnaissance,cuda,1.87,13.28,0.0964,2478.92,0.99955,0.99814,0.9953,0.99403,0.99658
analysis,cuda,0.29,2.51,0.0297,473.68,0.99864,0.99815,0.98585,0.97436,0.99761
shellcode,cuda,0.16,1.52,0.0221,276.15,0.99835,0.995,0.98276,0.97436,0.9913
backdoor,cuda,0.24,2.18,0.026,406.11,0.99825,0.98969,0.98161,0.983,0.98023
