attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,29.46,57.5,0.4818,9374.63,0.99171,0.96688,0.96811,0.96566
dos,cuda:2,3.2,7.85,0.0723,1529.02,0.99756,0.9741,0.97451,0.97368
fuzzers,cuda:2,4.14,10.35,0.0918,1999.95,0.98827,0.88951,0.80755,0.98999
exploits,cuda:2,8.35,19.37,0.1633,3612.18,0.99643,0.96314,0.95289,0.97361
generic,cuda:2,26.52,52.33,0.4646,8960.66,0.99935,0.99641,0.99892,0.99392
reconnaissance,cuda:2,3.03,7.73,0.0958,1500.58,0.99898,0.98953,0.98499,0.99411
analysis,cuda:2,0.52,1.79,0.0232,292.42,0.99887,0.98826,0.97907,0.99763
shellcode,cuda:2,0.29,1.39,0.0198,175.08,0.99794,0.9789,0.96667,0.99145
backdoor,cuda:2,0.44,1.61,0.0219,251.87,0.99771,0.97511,0.97368,0.97654
