attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,20.32,59.26,0.5087,8801.92,0.99653,0.98633,0.97534,0.99756
dos,cuda:2,2.16,6.75,0.069,1313.31,0.99812,0.98016,0.9839,0.97645
fuzzers,cuda:2,2.87,8.99,0.0892,1724.39,0.98788,0.88648,0.8001,0.99376
exploits,cuda:2,5.46,17.07,0.156,3187.64,0.99667,0.96527,0.95842,0.97221
generic,cuda:2,18.27,53.76,0.4855,8367.69,0.99944,0.99693,0.99862,0.99525
reconnaissance,cuda:2,2.05,6.68,0.0695,1284.65,0.99955,0.9953,0.99572,0.99487
analysis,cuda:2,0.37,1.57,0.0229,247.69,0.99955,0.99526,0.99057,1.0
shellcode,cuda:2,0.22,1.32,0.0191,148.44,0.99835,0.98291,0.96639,1.0
backdoor,cuda:2,0.32,1.48,0.021,214.48,0.99785,0.9774,0.9774,0.9774
