attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,1.37,9.89,0.0599,573.21,0.99934,0.99681,0.99627,0.99882,0.99374
ddos,cuda:2,1.44,4.98,0.0546,600.53,0.99445,0.98777,0.96885,0.95829,0.97966
backdoor,cuda:2,1.2,4.89,0.0528,570.91,0.99997,0.9998,0.9998,1.0,0.99961
injection,cuda:2,1.3,4.97,0.0531,599.46,0.99189,0.97258,0.9538,0.95851,0.94914
password,cuda:2,1.18,4.97,0.0544,599.52,0.99431,0.98522,0.96793,0.96176,0.97418
ransomware,cuda:2,1.19,4.9,0.0533,574.79,0.9999,0.99994,0.99941,0.99883,1.0
scanning,cuda:2,1.24,4.89,0.0529,585.62,0.99952,0.99814,0.99726,0.99804,0.99648
xss,cuda:2,1.25,4.89,0.054,592.72,0.99614,0.97862,0.97763,0.99878,0.95736
