attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,8.82,38.88,0.3647,3903.42,0.99811,0.99609,0.98964,0.98567,0.99363
dos,cuda:2,0.63,4.4,0.0566,548.94,0.99938,0.99726,0.99657,0.99847,0.99468
ddos,cuda:2,0.6,4.39,0.0573,565.72,0.99827,0.99734,0.99055,0.98496,0.9962
backdoor,cuda:2,0.57,4.4,0.0562,546.44,0.99979,0.9992,0.99886,0.99924,0.99848
injection,cuda:2,0.58,4.4,0.0581,565.22,0.99889,0.99768,0.99393,0.99167,0.9962
password,cuda:2,0.58,4.41,0.0563,565.11,0.99924,0.99719,0.99581,0.99695,0.99468
ransomware,cuda:2,0.57,4.56,0.0569,549.91,0.99986,0.99958,0.99924,0.99924,0.99924
scanning,cuda:2,0.59,4.55,0.0564,557.36,0.99917,0.99681,0.99543,0.99695,0.99392
xss,cuda:2,0.58,4.41,0.0577,561.9,0.99938,0.99743,0.99657,0.99809,0.99506
