attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,21.19,59.1,0.5686,8801.92,0.99664,0.99638,0.98672,0.97758,0.99603
dos,cuda:2,2.24,6.77,0.0776,1313.31,0.99796,0.98534,0.9784,0.98549,0.9714
fuzzers,cuda:2,2.93,8.95,0.0969,1724.39,0.98785,0.99095,0.88629,0.7994,0.99439
exploits,cuda:2,5.77,17.12,0.177,3187.64,0.99692,0.98733,0.96798,0.95939,0.97673
generic,cuda:2,18.91,53.53,0.5318,8367.69,0.99948,0.99764,0.99713,0.99886,0.9954
reconnaissance,cuda:2,2.13,6.68,0.0752,1284.65,0.99947,0.99668,0.99444,0.99529,0.99359
analysis,cuda:2,0.37,1.56,0.0249,247.69,0.99886,0.9994,0.98824,0.97674,1.0
shellcode,cuda:2,0.22,1.32,0.0212,148.44,0.99876,0.99935,0.98712,0.97458,1.0
backdoor,cuda:2,0.32,1.48,0.0239,214.48,0.99812,0.99365,0.98039,0.97222,0.9887
