attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cpu,2.1,1195.53,2.5424,0,0.99782,0.97684,0.98754,0.96637
fuzzers,cpu,2.96,1550.62,3.3173,0,0.98862,0.89269,0.81007,0.99407
exploits,cpu,5.47,2777.86,5.7722,0,0.99682,0.96709,0.95452,0.98
generic,cpu,16.97,7273.62,15.038,0,0.99948,0.99714,0.99889,0.99539
reconnaissance,cpu,1.82,1144.58,2.0467,0,0.99952,0.99498,0.99445,0.99551
analysis,cpu,0.28,157.78,0.3234,0,0.99864,0.98585,0.97436,0.99761
shellcode,cpu,0.16,87.63,0.1878,0,0.99835,0.98283,0.97034,0.99565
backdoor,cpu,0.24,137.16,0.2748,0,0.99812,0.98017,0.98295,0.9774

