attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,30.09,58.64,0.6203,9378.25,0.99184,0.9805,0.9674,0.96945,0.96535
dos,cuda:2,3.04,7.82,0.0914,1528.87,0.99778,0.98481,0.97646,0.9825,0.97049
fuzzers,cuda:2,4.18,10.43,0.1121,1999.74,0.98873,0.99128,0.89393,0.8121,0.99409
exploits,cuda:2,8.24,19.4,0.1999,3612.59,0.997,0.98853,0.9687,0.95843,0.97918
generic,cuda:2,25.75,52.31,0.5739,8960.15,0.99935,0.9971,0.99645,0.99856,0.99434
reconnaissance,cuda:2,2.92,7.8,0.0894,1501.35,0.99904,0.99403,0.98996,0.99144,0.98848
analysis,cuda:2,0.46,1.79,0.0274,292.42,0.99898,0.99947,0.98964,0.9795,1.0
shellcode,cuda:2,0.23,1.39,0.024,174.35,0.99856,0.99924,0.98482,0.97009,1.0
backdoor,cuda:2,0.38,1.61,0.0263,251.78,0.99771,0.9877,0.97525,0.97384,0.97668
