attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,20.63,58.35,0.6306,8801.92,0.99654,0.99699,0.98636,0.97538,0.99758
dos,cuda:2,2.11,6.76,0.0822,1313.31,0.99806,0.9872,0.97951,0.98388,0.97519
fuzzers,cuda:2,2.73,8.97,0.1064,1724.39,0.98788,0.99067,0.88648,0.8001,0.99376
exploits,cuda:2,5.44,17.11,0.1879,3187.64,0.99667,0.98505,0.96527,0.95842,0.97221
generic,cuda:2,18.02,53.66,0.5908,8367.69,0.99945,0.99756,0.99696,0.99868,0.99525
reconnaissance,cuda:2,1.99,6.68,0.0828,1284.65,0.99955,0.99733,0.9953,0.99572,0.99487
analysis,cuda:2,0.31,1.56,0.0268,247.69,0.99955,0.99976,0.99526,0.99057,1.0
shellcode,cuda:2,0.17,1.32,0.023,148.44,0.99835,0.99913,0.98291,0.96639,1.0
backdoor,cuda:2,0.27,1.48,0.0252,214.48,0.99785,0.98814,0.9774,0.9774,0.9774
