attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,0.83,9.4,0.0553,547.77,0.99945,0.99764,0.99695,0.99847,0.99544
ddos,cuda:2,0.82,4.46,0.0533,566.09,0.99831,0.99753,0.99074,0.98497,0.99658
backdoor,cuda:2,0.73,4.37,0.0554,546.32,0.99979,0.9992,0.99886,0.99924,0.99848
injection,cuda:2,0.69,4.43,0.0539,565.58,0.99889,0.99768,0.99393,0.99167,0.9962
password,cuda:2,0.7,4.42,0.0521,565.47,0.99924,0.99719,0.99581,0.99695,0.99468
ransomware,cuda:2,0.67,4.52,0.0518,549.83,0.99986,0.99958,0.99924,0.99924,0.99924
scanning,cuda:2,0.69,4.54,0.0548,558.31,0.99903,0.99673,0.99467,0.99543,0.99392
xss,cuda:2,0.66,4.43,0.0545,561.75,0.99952,0.99734,0.99733,1.0,0.99468
full,cuda:2,8.9,38.77,0.3408,3903.42,0.99839,0.99603,0.99116,0.98916,0.99316
