attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,19.21,102.9,0.6344,16139.82,0.99163,0.9666,0.96704,0.96615
dos,cuda:2,1.93,13.32,0.081,2533.47,0.99809,0.97994,0.97942,0.98045
fuzzers,cuda:2,2.64,17.88,0.1088,3307.57,0.98869,0.89345,0.81039,0.99548
exploits,cuda:2,5.26,33.81,0.1935,6018.14,0.99709,0.96985,0.95864,0.98134
generic,cuda:2,16.99,91.23,0.5712,15403.39,0.99946,0.99702,0.99865,0.9954
reconnaissance,cuda:2,1.88,13.17,0.0809,2478.64,0.99951,0.99487,0.99402,0.99572
analysis,cuda:2,0.28,2.5,0.0244,473.68,0.99864,0.98585,0.97436,0.99761
shellcode,cuda:2,0.16,1.52,0.0209,276.15,0.99835,0.98283,0.97034,0.99565
backdoor,cuda:2,0.24,2.18,0.0226,406.11,0.99798,0.97872,0.98291,0.97458
