attack_cat,device,training_time_sec,accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,57.23,0.99184,0.96739,0.96501,0.96979
dos,cuda:2,7.85,0.99768,0.97589,0.97956,0.97226
fuzzers,cuda:2,10.37,0.98795,0.88712,0.80237,0.9919
exploits,cuda:2,19.26,0.99672,0.96596,0.95622,0.9759
generic,cuda:2,52.58,0.99939,0.99662,0.99889,0.99436
reconnaissance,cuda:2,7.76,0.9989,0.98819,0.98431,0.99209
analysis,cuda:2,1.82,0.9991,0.99105,0.98226,1.0
shellcode,cuda:2,1.4,0.99833,0.98214,0.96916,0.99548
backdoor,cuda:2,1.61,0.99812,0.98028,0.98864,0.97207
