attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,30.25,56.52,0.5696,9376.45,0.99159,0.97916,0.96637,0.9702,0.96256
dos,cuda:2,3.17,7.88,0.0837,1529.06,0.99762,0.98296,0.97475,0.98288,0.96675
fuzzers,cuda:2,4.36,10.42,0.1068,2000.05,0.98825,0.98843,0.88788,0.80576,0.98864
exploits,cuda:2,8.41,19.22,0.1823,3612.46,0.99702,0.98927,0.96926,0.95808,0.98071
generic,cuda:2,25.59,52.07,0.5441,8961.39,0.99933,0.99685,0.99626,0.9987,0.99383
reconnaissance,cuda:2,3.0,7.81,0.0797,1501.72,0.99896,0.9949,0.98936,0.98833,0.99039
analysis,cuda:2,0.53,1.8,0.0272,292.65,0.99829,0.9991,0.98225,0.96512,1.0
shellcode,cuda:2,0.28,1.39,0.0219,174.76,0.99813,0.99902,0.98097,0.96266,1.0
backdoor,cuda:2,0.43,1.61,0.0241,252.15,0.99776,0.98801,0.97589,0.9745,0.97727
