attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,20.4,58.71,0.5721,8801.92,0.99675,0.99571,0.98712,0.98003,0.99432
dos,cuda:2,2.13,6.74,0.0778,1313.31,0.9981,0.98861,0.97999,0.98185,0.97813
fuzzers,cuda:2,2.88,8.96,0.0979,1724.39,0.98788,0.99097,0.88654,0.7998,0.99439
exploits,cuda:2,5.47,17.11,0.1711,3187.64,0.99715,0.9892,0.97034,0.96048,0.98042
generic,cuda:2,17.98,53.65,0.5338,8367.69,0.99944,0.99749,0.99692,0.99874,0.9951
reconnaissance,cuda:2,2.11,6.68,0.0761,1284.65,0.99953,0.99813,0.99509,0.99361,0.99658
analysis,cuda:2,0.37,1.56,0.0254,247.69,0.99886,0.9994,0.98824,0.97674,1.0
shellcode,cuda:2,0.22,1.31,0.0217,148.44,0.99876,0.99935,0.98712,0.97458,1.0
backdoor,cuda:2,0.32,1.48,0.024,214.48,0.99785,0.99082,0.97753,0.97207,0.98305
