attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,19.35,102.57,0.6524,16139.82,0.99172,0.9671,0.96314,0.97108
dos,cuda:2,1.99,13.32,0.0805,2533.47,0.99796,0.97842,0.98509,0.97184
fuzzers,cuda:2,2.65,17.87,0.1089,3307.57,0.98866,0.89306,0.81069,0.99407
exploits,cuda:2,5.36,33.77,0.1937,6018.14,0.99702,0.96905,0.9573,0.98109
generic,cuda:2,17.79,91.49,0.5771,15403.39,0.99943,0.99687,0.99882,0.99492
reconnaissance,cuda:2,1.87,13.16,0.084,2478.64,0.99953,0.99509,0.99445,0.99572
analysis,cuda:2,0.29,2.5,0.024,473.68,0.99864,0.98585,0.97436,0.99761
shellcode,cuda:2,0.16,1.52,0.0195,276.15,0.99835,0.98283,0.97034,0.99565
backdoor,cuda:2,0.24,2.18,0.0227,406.11,0.99825,0.9814,0.9942,0.96893
