attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,20.31,56.38,0.5641,8801.92,0.9967,0.99654,0.98695,0.97774,0.99632
dos,cuda:2,2.24,6.75,0.0763,1313.31,0.99798,0.98935,0.97879,0.97776,0.97981
fuzzers,cuda:2,2.9,8.98,0.0971,1724.39,0.98785,0.99095,0.88629,0.7994,0.99439
exploits,cuda:2,5.76,17.14,0.1722,3187.64,0.99714,0.98379,0.96993,0.97082,0.96903
generic,cuda:2,18.38,53.63,0.5336,8367.69,0.99946,0.99759,0.99702,0.99874,0.99531
reconnaissance,cuda:2,2.07,6.69,0.0768,1284.65,0.99951,0.99771,0.99488,0.99403,0.99573
analysis,cuda:2,0.36,1.56,0.0247,247.69,0.99955,0.99976,0.99526,0.99057,1.0
shellcode,cuda:2,0.21,1.32,0.0216,148.44,0.99876,0.99935,0.98712,0.97458,1.0
backdoor,cuda:2,0.32,1.48,0.0236,214.48,0.99785,0.99082,0.97753,0.97207,0.98305
