attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,32.04,7.35,0.0528,573.25,0.99927,0.99605,0.99924,0.99287
ddos,cuda:2,33.88,4.98,0.051,600.65,0.99463,0.97128,0.95622,0.98682
backdoor,cuda:2,32.82,4.85,0.0505,570.96,0.99986,0.99925,0.99925,0.99925
injection,cuda:2,33.86,5.01,0.0513,600.06,0.99182,0.95407,0.95967,0.94853
password,cuda:2,33.33,4.95,0.0499,599.17,0.9948,0.97204,0.96436,0.97984
ransomware,cuda:2,33.46,4.91,0.0508,574.51,0.9999,0.99943,0.99886,1.0
scanning,cuda:2,32.82,4.92,0.0516,585.73,0.99938,0.9966,0.99849,0.99472
xss,cuda:2,34.04,4.89,0.05,592.72,0.99592,0.9773,0.99569,0.95958
