attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,0.84,9.33,0.0557,547.77,0.99938,0.99726,0.99657,0.99847,0.99468
ddos,cuda:2,0.81,4.45,0.0534,566.09,0.99834,0.99772,0.99093,0.98497,0.99696
backdoor,cuda:2,0.72,4.37,0.0508,546.32,0.99979,0.9992,0.99886,0.99924,0.99848
injection,cuda:2,0.67,4.43,0.0532,565.58,0.99889,0.99665,0.99392,0.99392,0.99392
password,cuda:2,0.67,4.42,0.0534,565.47,0.99924,0.99719,0.99581,0.99695,0.99468
ransomware,cuda:2,0.67,4.53,0.0528,549.83,0.99986,0.99958,0.99924,0.99924,0.99924
scanning,cuda:2,0.68,4.54,0.0537,558.31,0.99917,0.99681,0.99543,0.99695,0.99392
xss,cuda:2,0.67,4.44,0.0535,561.75,0.99952,0.99734,0.99733,1.0,0.99468
