attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,30.34,58.32,0.5469,9376.57,0.9919,0.98028,0.96773,0.97074,0.96475
dos,cuda:2,3.17,7.85,0.0823,1529.61,0.99762,0.98493,0.97515,0.97945,0.97089
fuzzers,cuda:2,4.36,10.44,0.1045,1998.54,0.98859,0.98945,0.88982,0.80778,0.99039
exploits,cuda:2,8.48,19.29,0.187,3612.25,0.99658,0.98877,0.96467,0.94969,0.98013
generic,cuda:2,27.19,52.02,0.5262,8960.17,0.99936,0.9968,0.99647,0.99928,0.99368
reconnaissance,cuda:2,3.07,7.8,0.0822,1503.33,0.9986,0.99442,0.98541,0.98105,0.9898
analysis,cuda:2,0.51,1.8,0.0262,292.63,0.99863,0.99928,0.98507,0.97059,1.0
shellcode,cuda:2,0.29,1.39,0.0215,174.37,0.99855,0.99712,0.98455,0.9738,0.99554
backdoor,cuda:2,0.45,1.62,0.0237,252.44,0.99796,0.98426,0.97872,0.98854,0.9691
