attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,1.44,9.76,0.0533,573.5,0.99924,0.99589,0.99925,0.99256
ddos,cuda:2,1.43,4.73,0.0482,600.81,0.99432,0.96975,0.95556,0.98437
backdoor,cuda:2,1.23,4.88,0.0474,571.01,1.0,1.0,1.0,1.0
injection,cuda:2,1.21,4.94,0.0471,599.81,0.99173,0.95519,0.95841,0.95199
password,cuda:2,1.2,4.94,0.0488,599.8,0.99452,0.97069,0.96165,0.9799
ransomware,cuda:2,1.2,4.91,0.0469,575.02,0.99972,0.99851,0.99703,1.0
scanning,cuda:2,1.22,4.91,0.047,585.83,0.99945,0.99702,0.99776,0.99628
xss,cuda:2,1.19,4.89,0.0485,592.81,0.99618,0.97894,0.99845,0.96018
