attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,18.66,10.16,0.0645,1055.52,0.99934,0.99638,0.99885,0.99392
ddos,cuda:2,20.02,8.44,0.0601,1091.39,0.99888,0.99383,0.99354,0.99411
backdoor,cuda:2,19.0,8.37,0.0581,1054.71,0.99997,0.99981,1.0,0.99962
injection,cuda:2,20.36,8.35,0.0605,1089.74,0.99903,0.99466,0.99771,0.99164
password,cuda:2,19.58,8.86,0.0631,1089.59,0.99952,0.99734,0.9981,0.99658
ransomware,cuda:2,19.04,8.43,0.058,1057.22,0.99986,0.99924,0.99848,1.0
scanning,cuda:2,20.0,8.36,0.0589,1071.08,0.99945,0.99696,0.9981,0.99582
xss,cuda:2,19.48,8.93,0.0636,1078.48,0.99931,0.99619,0.99885,0.99354
