attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,0.77,6.42,0.0548,547.77,0.99941,0.99745,0.99676,0.99847,0.99506
ddos,cuda:2,0.81,4.45,0.0539,566.09,0.99834,0.99772,0.99093,0.98497,0.99696
backdoor,cuda:2,0.71,4.37,0.0533,546.32,0.99979,0.9992,0.99886,0.99924,0.99848
injection,cuda:2,0.69,4.43,0.0548,565.58,0.99889,0.99494,0.99389,0.9977,0.99011
password,cuda:2,0.7,4.42,0.0537,565.47,0.99924,0.99719,0.99581,0.99695,0.99468
ransomware,cuda:2,0.67,4.51,0.0528,549.83,0.9999,0.9996,0.99943,0.99962,0.99924
scanning,cuda:2,0.67,4.53,0.052,558.31,0.9991,0.99643,0.99505,0.99695,0.99316
xss,cuda:2,0.68,4.43,0.0535,561.75,0.99952,0.99734,0.99733,1.0,0.99468
full,cuda:2,8.79,36.25,0.3388,3903.42,0.99842,0.99597,0.99134,0.98972,0.99297
