attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,1.44,7.02,0.0601,573.32,0.99914,0.99625,0.9952,0.99769,0.99272
ddos,cuda:2,1.46,4.67,0.0524,600.56,0.99389,0.98473,0.96634,0.95923,0.97356
backdoor,cuda:2,1.21,4.6,0.057,570.98,0.99997,0.99981,0.99981,1.0,0.99962
injection,cuda:2,1.28,4.67,0.0549,599.6,0.99151,0.97048,0.95249,0.96028,0.94483
password,cuda:2,1.27,4.69,0.0534,599.57,0.99431,0.98531,0.96858,0.96289,0.97433
ransomware,cuda:2,1.28,4.61,0.0553,574.86,0.99976,0.99987,0.99866,0.99733,1.0
scanning,cuda:2,1.25,4.65,0.0538,585.61,0.99959,0.99839,0.9977,0.99847,0.99693
xss,cuda:2,1.18,4.66,0.0525,592.75,0.99582,0.97855,0.97636,0.99601,0.95747
