attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,29.8,59.29,0.5134,9375.4,0.99168,0.9668,0.96902,0.9646
dos,cuda:2,3.21,7.83,0.0745,1529.57,0.99744,0.97414,0.97179,0.97651
fuzzers,cuda:2,4.4,10.41,0.0952,2000.72,0.9884,0.89073,0.81183,0.98662
exploits,cuda:2,8.48,19.21,0.1675,3612.49,0.99706,0.96933,0.95826,0.98066
generic,cuda:2,26.46,52.11,0.4893,8961.97,0.99942,0.99677,0.99898,0.99457
reconnaissance,cuda:2,3.05,7.82,0.0741,1500.8,0.99903,0.98969,0.98546,0.99396
analysis,cuda:2,0.51,1.79,0.0235,292.36,0.9984,0.98329,0.9717,0.99517
shellcode,cuda:2,0.27,1.39,0.0197,174.95,0.99896,0.99033,0.98462,0.99611
backdoor,cuda:2,0.43,1.61,0.0218,251.85,0.99799,0.97854,0.97436,0.98276
