attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,32.03,7.33,0.0528,573.33,0.99917,0.99534,0.99805,0.99265
ddos,cuda:2,33.9,4.91,0.0514,600.92,0.99402,0.96724,0.95992,0.97466
backdoor,cuda:2,32.82,4.86,0.049,570.99,0.99997,0.99981,1.0,0.99962
injection,cuda:2,33.79,4.91,0.0499,600.07,0.99245,0.95773,0.96424,0.9513
password,cuda:2,33.44,4.88,0.0503,599.67,0.99448,0.9696,0.96353,0.97576
ransomware,cuda:2,33.46,4.87,0.0503,575.03,0.99979,0.99886,0.99772,1.0
scanning,cuda:2,32.97,4.9,0.0489,585.88,0.99934,0.99638,0.99695,0.99581
xss,cuda:2,34.11,4.89,0.0498,592.85,0.99586,0.97674,0.9996,0.95489
