attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,30.26,58.85,0.504,9376.45,0.99159,0.96638,0.97022,0.96256
dos,cuda:2,3.15,7.88,0.0751,1529.06,0.99766,0.97519,0.9829,0.96759
fuzzers,cuda:2,4.25,10.4,0.0955,2000.05,0.98823,0.88772,0.80571,0.98832
exploits,cuda:2,8.3,19.28,0.1685,3612.46,0.99697,0.96883,0.95566,0.98237
generic,cuda:2,26.34,52.03,0.4911,8961.39,0.99933,0.99627,0.99873,0.99383
reconnaissance,cuda:2,3.0,7.81,0.0731,1501.72,0.99896,0.98936,0.98833,0.99039
analysis,cuda:2,0.52,1.8,0.0234,292.65,0.99829,0.98225,0.96512,1.0
shellcode,cuda:2,0.28,1.4,0.0198,174.76,0.99813,0.98097,0.96266,1.0
backdoor,cuda:2,0.43,1.61,0.022,252.15,0.99776,0.97589,0.9745,0.97727
