attack_cat,device,graph_time,train_time,test_time,peak_memory,accuracy,f1_malicious,precision_malicious,recall_malicious
dos,cuda:2,31.88,7.28,0.0534,573.36,0.99935,0.99638,1.0,0.99279
ddos,cuda:2,33.77,4.97,0.0505,600.82,0.99483,0.97167,0.96221,0.9813
backdoor,cuda:2,32.72,4.93,0.0514,571.17,0.99983,0.99905,0.9981,1.0
injection,cuda:2,33.59,4.92,0.0501,599.68,0.9913,0.95254,0.95651,0.94861
password,cuda:2,33.32,4.96,0.0503,599.91,0.99419,0.96811,0.9619,0.9744
ransomware,cuda:2,33.4,4.91,0.0505,576.35,0.99979,0.99886,0.99772,1.0
scanning,cuda:2,32.89,4.92,0.051,586.03,0.99962,0.99789,0.99923,0.99656
xss,cuda:2,33.97,4.97,0.0492,592.72,0.99628,0.9795,0.99884,0.96089
