attack_cat,device,training_time_sec,accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda,93.44,0.99168,0.96649,0.97552,0.95763
dos,cuda,13.57,0.99785,0.97719,0.98672,0.96784
fuzzers,cuda,18.17,0.98875,0.89393,0.81087,0.99594
exploits,cuda,33.12,0.99719,0.97055,0.97047,0.97063
generic,cuda,87.14,0.99941,0.99675,0.99889,0.99461
reconnaissance,cuda,13.38,0.99953,0.99509,0.99403,0.99615
analysis,cuda,2.54,0.99864,0.98585,0.97436,0.99761
shellcode,cuda,1.53,0.99835,0.98283,0.97034,0.99565
backdoor,cuda,2.21,0.99798,0.97872,0.98291,0.97458
