attack_cat,device,training_time_sec,accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda:2,59.05,0.99148,0.966,0.96785,0.96415
dos,cuda:2,7.92,0.99759,0.97486,0.97897,0.9708
fuzzers,cuda:2,10.39,0.98833,0.88914,0.81963,0.97153
exploits,cuda:2,19.36,0.9968,0.96688,0.95279,0.98139
generic,cuda:2,52.39,0.9993,0.99616,0.99892,0.99341
reconnaissance,cuda:2,7.81,0.99915,0.99112,0.98611,0.99617
analysis,cuda:2,1.82,0.999,0.98985,0.97991,1.0
shellcode,cuda:2,1.4,0.9977,0.97539,0.9646,0.98643
backdoor,cuda:2,1.62,0.99733,0.9729,0.96505,0.98087
