attack_cat,device,training_time_sec,accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda,93.75,0.99172,0.96694,0.96761,0.96627
dos,cuda,13.56,0.99799,0.97872,0.98592,0.97163
fuzzers,cuda,18.22,0.98866,0.89314,0.81029,0.99485
exploits,cuda,33.14,0.99688,0.96763,0.95748,0.97799
generic,cuda,87.16,0.99941,0.99677,0.99897,0.99458
reconnaissance,cuda,13.39,0.99951,0.99487,0.99487,0.99487
analysis,cuda,2.53,0.99864,0.98585,0.97436,0.99761
shellcode,cuda,1.53,0.99835,0.98283,0.97034,0.99565
backdoor,cuda,2.22,0.99839,0.98286,0.99422,0.97175
