attack_cat,device,graph_time,train_time,test_time,accuracy,bal_Accuracy,f1_malicious,precision_malicious,recall_malicious
full,cuda,0,5.02,0.2771,0.99336,0.97421,0.96299,0.97548,0.95082
dos,cuda,0,0.69,0.3071,0.99962,0.99791,0.99791,1.0,0.99582
ddos,cuda,0,0.69,0.2895,0.99855,0.99202,0.99195,1.0,0.98404
backdoor,cuda,0,0.54,0.0528,0.99997,0.99998,0.99981,0.99962,1.0
injection,cuda,0,0.7,0.31,0.99907,0.99692,0.99487,0.99543,0.9943
password,cuda,0,0.58,0.308,0.99841,0.9928,0.99121,0.99654,0.98594
ransomware,cuda,0,0.58,0.1513,0.98797,0.96876,0.93461,0.92419,0.94527
scanning,cuda,0,0.59,0.2868,0.99734,0.99683,0.98552,0.97507,0.9962
xss,cuda,0,0.67,0.3081,0.99692,0.99694,0.98332,0.97004,0.99696
